2017-11-21 11:04:30,707 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-21 11:04:30,712 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 11:04:30,712 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 11:04:30,805 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-21 11:04:30,806 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-21 11:04:30,809 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.616 seconds
2017-11-21 11:04:31,852 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Air-local-54562-1511242469618-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/Sham/Desktop/Iterview/learn-camel-simple-file/data/input/shambhu.txt, CamelFileLastModified=1511175950000, CamelFileLength=20, CamelFileName=shambhu.txt, CamelFileNameConsumed=shambhu.txt, CamelFileNameOnly=shambhu.txt, CamelFileParent=data/input, CamelFilePath=data/input/shambhu.txt, CamelFileRelativePath=shambhu.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[shambhu.txt]]]
2017-11-21 11:04:31,870 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Air-local-54562-1511242469618-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/Sham/Desktop/Iterview/learn-camel-simple-file/data/input/swati.txt, CamelFileLastModified=1511240935000, CamelFileLength=26, CamelFileName=swati.txt, CamelFileNameConsumed=swati.txt, CamelFileNameOnly=swati.txt, CamelFileParent=data/input, CamelFilePath=data/input/swati.txt, CamelFileRelativePath=swati.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[swati.txt]]]
2017-11-21 11:04:35,813 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 11:04:35,815 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-21 11:04:35,822 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-21 11:04:35,823 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-21 11:04:35,859 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.670 seconds
2017-11-21 11:04:35,859 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.046 seconds
2017-11-21 11:51:41,340 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 11:51:41,346 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-21 11:51:41,647 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 11:51:41,696 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-21 11:51:41,986 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-21 11:51:41,995 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 11:51:41,996 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 11:51:42,107 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 11:51:42,107 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 11:51:42,144 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-21 11:51:42,149 | INFO | DefaultCamelContext.java 3693 | Route: route2 started and consuming from: file://data/input1?noop=true
2017-11-21 11:51:42,149 | INFO | DefaultCamelContext.java 2947 | Total 2 routes, of which 2 are started.
2017-11-21 11:51:42,153 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.812 seconds
2017-11-21 11:51:43,177 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Air-local-55756-1511245300709-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/Sham/Desktop/Iterview/learn-camel-simple-file/data/input/shambhu.txt, CamelFileLastModified=1511175950000, CamelFileLength=20, CamelFileName=shambhu.txt, CamelFileNameConsumed=shambhu.txt, CamelFileNameOnly=shambhu.txt, CamelFileParent=data/input, CamelFilePath=data/input/shambhu.txt, CamelFileRelativePath=shambhu.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[shambhu.txt]]]
2017-11-21 11:51:43,190 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Air-local-55756-1511245300709-0-7, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/Sham/Desktop/Iterview/learn-camel-simple-file/data/input/swati.txt, CamelFileLastModified=1511240935000, CamelFileLength=26, CamelFileName=swati.txt, CamelFileNameConsumed=swati.txt, CamelFileNameOnly=swati.txt, CamelFileParent=data/input, CamelFilePath=data/input/swati.txt, CamelFileRelativePath=swati.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[swati.txt]]]
2017-11-21 11:51:47,155 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 11:51:47,158 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 2 routes (timeout 300 seconds)
2017-11-21 11:51:47,163 | INFO | DefaultShutdownStrategy.java 669 | Route: route2 shutdown complete, was consuming from: file://data/input1?noop=true
2017-11-21 11:51:47,164 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-21 11:51:47,164 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 2 routes completed in 0 seconds
2017-11-21 11:51:47,201 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.863 seconds
2017-11-21 11:51:47,201 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.045 seconds
2017-11-21 11:56:37,119 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 11:56:37,125 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-21 11:56:37,396 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 11:56:37,462 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-21 11:56:37,653 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-21 11:56:37,660 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 11:56:37,660 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 11:56:37,740 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 11:56:37,740 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 11:56:37,767 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-21 11:56:37,771 | INFO | DefaultCamelContext.java 3693 | Route: route2 started and consuming from: file://data/input1?noop=true
2017-11-21 11:56:37,772 | INFO | DefaultCamelContext.java 2947 | Total 2 routes, of which 2 are started.
2017-11-21 11:56:37,776 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.656 seconds
2017-11-21 11:56:38,808 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Air-local-56161-1511245596563-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/Sham/Desktop/Iterview/learn-camel-simple-file/data/input/shambhu.txt, CamelFileLastModified=1511175950000, CamelFileLength=20, CamelFileName=shambhu.txt, CamelFileNameConsumed=shambhu.txt, CamelFileNameOnly=shambhu.txt, CamelFileParent=data/input, CamelFilePath=data/input/shambhu.txt, CamelFileRelativePath=shambhu.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[shambhu.txt]]]
2017-11-21 11:56:38,817 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Air-local-56161-1511245596563-0-7, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/Sham/Desktop/Iterview/learn-camel-simple-file/data/input/swati.txt, CamelFileLastModified=1511240935000, CamelFileLength=26, CamelFileName=swati.txt, CamelFileNameConsumed=swati.txt, CamelFileNameOnly=swati.txt, CamelFileParent=data/input, CamelFilePath=data/input/swati.txt, CamelFileRelativePath=swati.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[swati.txt]]]
2017-11-21 11:56:42,778 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 11:56:42,780 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 2 routes (timeout 300 seconds)
2017-11-21 11:56:42,786 | INFO | DefaultShutdownStrategy.java 669 | Route: route2 shutdown complete, was consuming from: file://data/input1?noop=true
2017-11-21 11:56:42,787 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-21 11:56:42,788 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 2 routes completed in 0 seconds
2017-11-21 11:56:42,821 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.705 seconds
2017-11-21 11:56:42,822 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.043 seconds
2017-11-21 15:02:49,722 | INFO | CamelTestSupport.java 227 | ********************************************************************************
2017-11-21 15:02:49,727 | INFO | CamelTestSupport.java 228 | Testing: checkFileExistsInOutputDirectory(com.learnmyfirstprg.learn_camel_simple_file.AppRouteTest)
2017-11-21 15:02:49,728 | INFO | CamelTestSupport.java 229 | ********************************************************************************
2017-11-21 15:02:50,454 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 15:02:50,456 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-21 15:02:50,545 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 15:02:50,701 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-21 15:02:50,705 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 15:02:50,706 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 15:02:50,723 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-21 15:02:50,724 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-21 15:02:50,725 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.272 seconds
2017-11-21 15:02:55,728 | INFO | CamelTestSupport.java 373 | ********************************************************************************
2017-11-21 15:02:55,728 | INFO | CamelTestSupport.java 374 | Testing done: checkFileExistsInOutputDirectory(com.learnmyfirstprg.learn_camel_simple_file.AppRouteTest)
2017-11-21 15:02:55,729 | INFO | CamelTestSupport.java 375 | Took: 5.001 seconds (5001 millis)
2017-11-21 15:02:55,729 | INFO | CamelTestSupport.java 402 | ********************************************************************************
2017-11-21 15:02:55,735 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 15:02:55,737 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-21 15:02:55,743 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-21 15:02:55,743 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-21 15:02:55,760 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.308 seconds
2017-11-21 15:02:55,760 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.025 seconds
2017-11-21 15:05:56,132 | INFO | CamelTestSupport.java 227 | ********************************************************************************
2017-11-21 15:05:56,139 | INFO | CamelTestSupport.java 228 | Testing: checkFileExistsInOutputDirectory(com.learnmyfirstprg.learn_camel_simple_file.AppRouteTest)
2017-11-21 15:05:56,139 | INFO | CamelTestSupport.java 229 | ********************************************************************************
2017-11-21 15:05:57,006 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 15:05:57,009 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-21 15:05:57,174 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 15:05:57,359 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-21 15:05:57,364 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 15:05:57,365 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 15:05:57,390 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-21 15:05:57,391 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-21 15:05:57,392 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.386 seconds
2017-11-21 15:06:02,397 | INFO | CamelTestSupport.java 373 | ********************************************************************************
2017-11-21 15:06:02,397 | INFO | CamelTestSupport.java 374 | Testing done: checkFileExistsInOutputDirectory(com.learnmyfirstprg.learn_camel_simple_file.AppRouteTest)
2017-11-21 15:06:02,398 | INFO | CamelTestSupport.java 375 | Took: 5.004 seconds (5004 millis)
2017-11-21 15:06:02,398 | INFO | CamelTestSupport.java 402 | ********************************************************************************
2017-11-21 15:06:02,404 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 15:06:02,405 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-21 15:06:02,409 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-21 15:06:02,410 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-21 15:06:02,428 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.422 seconds
2017-11-21 15:06:02,428 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.023 seconds
2017-11-21 16:24:15,326 | INFO | CamelTestSupport.java 227 | ********************************************************************************
2017-11-21 16:24:15,332 | INFO | CamelTestSupport.java 228 | Testing: sampleRouteTest(com.learnmyfirstprg.learn_camel_simple_file.SampleDirectRouteAppTest)
2017-11-21 16:24:15,333 | INFO | CamelTestSupport.java 229 | ********************************************************************************
2017-11-21 16:24:16,169 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 16:24:16,177 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-21 16:24:16,321 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 16:24:16,520 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-21 16:24:16,526 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: direct://sampleInput
2017-11-21 16:24:16,526 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-21 16:24:16,528 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.359 seconds
2017-11-21 16:24:16,549 | INFO | CamelLogger.java 159 | recived message is hello Shambhu and Headers are {breadcrumbId=ID-Air-local-53434-1511261655446-0-1}
2017-11-21 16:24:16,569 | INFO | CamelTestSupport.java 373 | ********************************************************************************
2017-11-21 16:24:16,570 | INFO | CamelTestSupport.java 374 | Testing done: sampleRouteTest(com.learnmyfirstprg.learn_camel_simple_file.SampleDirectRouteAppTest)
2017-11-21 16:24:16,570 | INFO | CamelTestSupport.java 375 | Took: 0.041 seconds (41 millis)
2017-11-21 16:24:16,570 | INFO | CamelTestSupport.java 402 | ********************************************************************************
2017-11-21 16:24:16,582 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 16:24:16,585 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-21 16:24:16,596 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
2017-11-21 16:24:16,596 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-21 16:24:16,616 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 0.449 seconds
2017-11-21 16:24:16,618 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.034 seconds
